Date,Value
2008-11-30,164.27
2008-10-31,182.96
2008-09-30,233.91
2008-08-31,235.16
2008-07-31,266.94
2008-06-30,287.11
2008-05-31,243.46
2008-04-30,246.67
2008-03-31,233.85
2008-02-29,219.95
2008-01-31,206.53
2007-12-31,180.25
2007-11-30,171.06
2007-10-31,164.09
2007-09-30,160.05
2007-08-31,151.01
2007-07-31,147.13
2007-06-30,164.5
2007-05-31,156.44
2007-04-30,152.58
2007-03-31,169.52
2007-02-28,177.35
2007-01-31,165.1
2006-12-31,160.66
2006-11-30,164.08
2006-10-31,142.17
2006-09-30,120.26
2006-08-31,115.21
2006-07-31,114.24
2006-06-30,109.55
2006-05-31,110.57
2006-04-30,107.82
2006-03-31,104.89
2006-02-28,106.92
2006-01-31,102.7
2005-12-31,102.66
2005-11-30,95.97
2005-10-31,101.5
2005-09-30,96.99
2005-08-31,98.64
2005-07-31,105.6
2005-06-30,97.56
2005-05-31,95.27
2005-04-30,96.39
2005-03-31,99.94
2005-02-28,94.36
2005-01-31,95.98
2004-12-31,95.59
2004-11-30,93.75
2004-10-31,93.37
2004-09-30,97.76
2004-08-31,104.04
2004-07-31,104.48
2004-06-30,123.23
2004-05-31,129.3
2004-04-30,133.39
2004-03-31,128.43
2004-02-29,122.91
2004-01-31,115.09
2003-12-31,111.98
2003-11-30,108.03
2003-10-31,104.17
2003-09-30,103.22
2003-08-31,100.31
2003-07-31,97.61
2003-06-30,106.99
2003-05-31,107.82
2003-04-30,105.25
2003-03-31,105.06
2003-02-28,106.04
2003-01-31,105.75
2002-12-31,107.01
2002-11-30,108.65
2002-10-31,109.65
2002-09-30,113.94
2002-08-31,109.89
2002-07-31,99.7
2002-06-30,93.17
2002-05-31,90.33
2002-04-30,87.11
2002-03-31,89.86
2002-02-28,90.73
2002-01-31,91.97
2001-12-31,92.31
2001-11-30,89.88
2001-10-31,86.27
2001-09-30,89.74
2001-08-31,92.88
2001-07-31,90.75
2001-06-30,83.16
2001-05-31,85.08
2001-04-30,87.55
2001-03-31,91.01
2001-02-28,92.38
2001-01-31,94.3
2000-12-31,96.22
2000-11-30,88.94
2000-10-31,84.71
2000-09-30,80.15
2000-08-31,75.24
2000-07-31,75.06
2000-06-30,84.04
2000-05-31,95.53
2000-04-30,95.54
2000-03-31,95.17
2000-02-29,95.08
2000-01-31,92.95
1999-12-31,87.22
1999-11-30,85.41
1999-10-31,85.65
1999-09-30,87.12
1999-08-31,86.38
1999-07-31,83.6
1999-06-30,92.95
1999-05-31,92.72
1999-04-30,94.04
1999-03-31,96.43
1999-02-28,94.56
1999-01-31,97.45
1998-12-31,95.32
1998-11-30,97.38
1998-10-31,95.49
1998-09-30,85.71
1998-08-31,88.36
1998-07-31,100.9
1998-06-30,101.75
1998-05-31,105.97
1998-04-30,106.69
1998-03-31,113.84
1998-02-28,113.62
1998-01-31,114.37
1997-12-31,113.6
1997-11-30,117.4
1997-10-31,120.24
1997-09-30,112.24
1997-08-31,111.95
1997-07-31,106.42
1997-06-30,112.58
1997-05-31,118.61
1997-04-30,124.71
1997-03-31,127.86
1997-02-28,121.75
1997-01-31,118.7
1996-12-31,116.84
1996-11-30,117.14
1996-10-31,128.61
1996-09-30,145.24
1996-08-31,186.82
1996-07-31,197.62
1996-06-30,196.64
1996-05-31,204.0
1996-04-30,189.03
1996-03-31,170.96
1996-02-29,164.71
1996-01-31,156.67
1995-12-31,148.19
1995-11-30,143.21
1995-10-31,140.82
1995-09-30,130.51
1995-08-31,126.3
1995-07-31,127.31
1995-06-30,120.01
1995-05-31,111.93
1995-04-30,109.64
1995-03-31,109.63
1995-02-28,106.98
1995-01-31,106.9
1994-12-31,102.56
1994-11-30,95.61
1994-10-31,96.11
1994-09-30,97.61
1994-08-31,96.16
1994-07-31,98.73
1994-06-30,112.08
1994-05-31,110.6
1994-04-30,113.42
1994-03-31,120.11
1994-02-28,123.65
1994-01-31,126.72
1993-12-31,121.23
1993-11-30,115.93
1993-10-31,105.77
1993-09-30,101.03
1993-08-31,100.31
1993-07-31,101.89
1993-06-30,92.73
1993-05-31,99.22
1993-04-30,100.49
1993-03-31,97.54
1993-02-28,94.25
1993-01-31,94.1
1992-12-31,94.04
1992-11-30,95.17
1992-10-31,94.56
1992-09-30,98.22
1992-08-31,97.54
1992-07-31,102.39
1992-06-30,110.2
1992-05-31,109.18
1992-04-30,109.06
1992-03-31,116.68
1992-02-29,113.92
1992-01-31,109.59
1991-12-31,106.72
1991-11-30,106.8
1991-10-31,109.52
1991-09-30,108.85
1991-08-31,110.12
1991-07-31,105.73
1991-06-30,105.11
1991-05-31,105.74
1991-04-30,110.23
1991-03-31,109.05
1991-02-28,106.29
1991-01-31,105.51
1990-12-31,102.36
1990-11-30,100.0
1990-10-31,100.0
1990-09-30,102.36
1990-08-31,109.84
1990-07-31,114.96
1990-06-30,120.07
1990-05-31,121.25
1990-04-30,118.5
1990-03-31,109.84
1990-02-28,106.29
1990-01-31,105.9
1989-12-31,108.66
1989-11-30,108.66
1989-10-31,106.29
1989-09-30,103.14
1989-08-31,101.18
1989-07-31,107.48
1989-06-30,113.38
1989-05-31,117.32
1989-04-30,115.35
1989-03-31,118.89
1989-02-28,117.58
1989-01-31,118.5
1988-12-31,117.32
1988-11-30,113.38
1988-10-31,121.25
1988-09-30,121.25
1988-08-31,118.89
1988-07-31,126.77
1988-06-30,120.07
1988-05-31,90.15
1988-04-30,89.76
1988-03-31,90.55
1988-02-29,87.4
1988-01-31,86.61
1987-12-31,83.07
1987-11-30,81.89
1987-10-31,78.74
1987-09-30,72.83
1987-08-31,71.26
1987-07-31,76.37
1987-06-30,80.31
1987-05-31,80.7
1987-04-30,74.41
1987-03-31,71.65
1987-02-28,66.93
1987-01-31,68.11
1986-12-31,70.08
1986-11-30,69.29
1986-10-31,65.35
1986-09-30,66.14
1986-08-31,75.19
1986-07-31,83.46
1986-06-30,104.72
1986-05-31,105.51
1986-04-30,101.57
1986-03-31,100.78
1986-02-28,104.33
1986-01-31,107.08
1985-12-31,108.66
1985-11-30,106.29
1985-10-31,97.63
1985-09-30,101.96
1985-08-31,105.51
1985-07-31,114.96
1985-06-30,116.14
1985-05-31,116.92
1985-04-30,120.07
1985-03-31,120.47
1985-02-28,119.68
1985-01-31,119.68
1984-12-31,113.77
1984-11-30,117.32
1984-10-31,121.25
1984-09-30,130.31
1984-08-31,138.58
1984-07-31,142.51
1984-06-30,146.84
1984-05-31,146.06
1984-04-30,148.02
1984-03-31,146.06
1984-02-29,137.0
1984-01-31,142.12
1983-12-31,142.91
1983-11-30,146.84
1983-10-31,148.02
1983-09-30,147.63
1983-08-31,152.75
1983-07-31,140.54
1983-06-30,135.03
1983-05-31,133.85
1983-04-30,133.46
1983-03-31,125.19
1983-02-28,117.32
1983-01-31,108.26
1982-12-31,105.51
1982-11-30,102.75
1982-10-31,90.94
1982-09-30,97.63
1982-08-31,101.18
1982-07-31,111.41
1982-06-30,114.96
1982-05-31,116.53
1982-04-30,116.14
1982-03-31,114.17
1982-02-28,112.59
1982-01-31,113.38
1981-12-31,105.51
1981-11-30,110.62
1981-10-31,111.41
1981-09-30,115.74
1981-08-31,127.16
1981-07-31,137.79
1981-06-30,136.21
1981-05-31,140.94
1981-04-30,144.48
1981-03-31,142.12
1981-02-28,143.3
1981-01-31,151.96
1980-12-31,145.27
1980-11-30,146.84
1980-10-31,140.54
1980-09-30,140.94
1980-08-31,143.3
1980-07-31,130.7
1980-06-30,113.38
1980-05-31,109.84
1980-04-30,108.26
1980-03-31,109.84
1980-02-29,114.17
1980-01-31,105.51
